,,,,,,,,,,,,,,,,,,,,,,,,,,405463417,487602458,596423607,695304363,764887117,872138715,958463184,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581,,
537777811,548888896,546666678,751111191,800000044,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,20001598506,20561069558,20484885120,19907111419,18017749074,18869945678,18353881130,19291104008
,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063345,8083872012,8769250550,10201099040,11228764963,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496611,111789686464,128052853643,136709862831,145712200313,116193649124,101123851090,122123822334,101353230785,88815697793
,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174991,1185315468,1880951520,2392764853,3199642580,2258515610,2545967253,3212119044,3480355189,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,10677321490,12881354104,12044223353,11926928506,12890765324,12319830252,12776217195,13228144008,11386846319,11861200797,13019693451,15147020535,15279183290
,,,,,,,,,,78619206,89409820,113408232,150820103,186558696,220127246,227281025,254020153,308008898,411578334,446416106,388958731,375895956,327861833,330070689,346737965,482000594,611316399,721425939,795449332,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987
,,,,,,,,25891606124,28429146975,32013340941,37045140367,44182128971,55922081752,105711125366,117103149356,145484738304,167530174445,183969539763,248970610831,337548607896,348013579326,326467614158,306718525881,311102902530,307935286171,294002304211,313464339248,308329777740,323313155353,447403057842,441363731387,472395612979,477750218754,488310840410,524626754651,579109082403,614123231690,592264356627,644527010683,735685319269,722917010351,726832740067,821089931823,965100949398,1186135399899,1406002045915,1639307043045,2080969850135,1795740921394,2103331412248,2494028778449,2773499064015,2856372458851,2894391168410,2534723688142,2469440154484,2516121177763,2771384097905,2817414584665
,,,,,,,,,,,,,,,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337372362,103311640572,109816201498,124346358067,147824370320,180617467965,222116541865,257916133424,315474615739,253547358747,289787338325,350666031314,374590605854,390107556161,403137100068,358135057862,357045064670,385605506855,422215043585,421142267938
,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,103979106778,79092001998,88416668900,110934442763,111106191358,126206817196,76636898036,141352368715,189719984268,228788617202,236741715015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004252,127586973492,164657930453,198737095012,232557260817,287530508431,361558037110,332976484578,423627422092,530163281575,545982375701,552025140252,526319673732,594749285413,557531376218,643628665303,517626700413,445445177459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12457941907,13672802158
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,
